date, pm25, pm10, o3, no2, so2, co
2025/7/6, 52, 26, , 2, , 
2025/7/7, 39, 27, , 4, , 
2025/7/8, 27, 29, , 4, , 
2025/7/9, 27, 23, , 4, , 
2025/7/10, 32, 34, , 8, , 
2025/7/11, 38, 22, , 5, , 
2025/7/12, 30, 13, , 5, , 
2025/7/13, 21, 19, , 9, , 
2025/7/14, 21, 23, , 8, , 
2025/7/15, 29, 27, , 8, , 
2025/7/16, 42, 28, , 8, , 
2025/7/17, 42, 32, , 7, , 
2025/7/18, 44, 25, , 4, , 
2025/7/19, 48, 27, , 5, , 
2025/7/20, 46, 23, , 4, , 
2025/7/21, 41, 29, , 8, , 
2025/7/22, 25, 24, , 6, , 
2025/7/23, 29, 14, , 10, , 
2025/7/24, 34, 14, 37, 7, , 
2025/7/25, 38, 17, 34, 8, , 
2025/7/26, 37, 20, 44, 7, , 
2025/7/27, 44, 20, 35, 7, , 
2025/7/28, 43, 20, 39, 7, , 
2025/7/29, 36, 21, 41, 6, , 
2025/7/30, 38, 24, 32, 10, , 
2025/7/31, 44, 25, 36, 9, , 
2025/8/1, 36, 20, 39, 4, , 
2025/8/2, 36, 21, 41, 3, , 
2025/8/3, 30, 28, 32, 9, , 
2025/8/4, 40, 33, 26, 10, , 
2025/8/5, 45, 32, , 10, , 
2025/8/6, 47, 26, , 7, , 
2025/8/7, 60, 29, , 7, , 
2025/8/8, 56, 24, , 7, , 
2025/8/9, 60, 30, , 10, , 
2025/8/10, 64, 37, , 8, , 
2025/8/11, 71, 35, , 7, , 
2025/8/12, 70, 37, , 9, , 
2025/8/13, 75, 36, , 20, , 
2025/8/14, 62, 32, , 9, , 
2025/8/15, 65, 31, , 9, , 
2025/8/16, 62, 36, , 8, , 
2025/8/17, 65, 29, , 5, , 
2025/8/18, 65, 30, , 6, , 
2025/8/19, 63, 23, , 4, , 
2025/8/20, 62, 18, , 3, , 
2025/8/21, 49, 19, , 4, , 
2025/8/22, 40, 17, , 7, , 
2025/8/23, 41, 18, , 5, , 
2025/8/24, 45, 23, , 12, , 
2025/8/25, 55, 26, , 9, , 
2025/8/26, 61, 30, , 5, , 
2025/8/27, 64, 33, , 7, , 
2025/8/28, 63, 21, , 7, , 
2025/8/29, 42, 16, , 4, , 
2025/8/30, 29, 20, , 4, , 
2025/8/31, 31, 20, , 5, , 
2025/9/1, 25, 22, , 6, , 
2025/9/2, 20, 26, , 8, , 
2025/9/3, 25, 26, , 12, , 
2025/9/4, 30, 18, , 5, , 
2025/9/5, 36, 19, , 8, , 
2025/9/6, 20, 23, , 7, , 
2025/9/7, 30, 22, , 4, , 
2025/9/8, 52, 13, , 6, , 
2025/9/9, 36, 22, , 10, , 
2025/9/10, 22, 24, , 4, , 
2025/9/11, 34, 22, , 7, , 
2025/9/12, 35, 20, , 10, , 
2025/9/13, 39, 15, , 4, , 
2025/9/14, 34, 20, , 11, , 
2025/9/15, 52, 17, , 8, , 
2025/9/16, 34, 22, , 10, , 
2025/9/17, 38, 25, , 9, , 
2025/9/18, 55, 24, , 9, , 
2025/9/19, 56, 19, , 8, , 
2025/9/20, 33, 18, , 11, , 
2025/9/21, 31, 13, , 8, , 
2025/9/22, 13, 13, , 10, , 
2025/9/23, 12, 14, , 6, , 
2025/9/24, 14, 17, , 10, , 
2025/9/25, 19, 16, , 11, , 
2025/9/26, 25, 18, , 9, , 
2025/9/27, 21, 15, , 7, , 
2025/9/28, 25, 17, , 9, , 
2025/9/29, 35, 22, , 12, , 
2025/9/30, 44, 20, , 12, , 
2025/4/1, 30, 19, , 4, , 
2025/4/2, 24, 16, , 3, , 
2025/4/3, 25, 18, , 3, , 
2025/4/4, 23, 27, , 10, , 
2025/4/5, 33, 27, , 15, , 
2025/4/6, 44, 25, 39, 9, , 
2025/4/7, 44, 28, 35, 11, , 
2025/4/8, 49, 26, 35, 10, , 
2025/4/9, 52, 18, 37, 3, , 
2025/4/10, 48, 22, 41, 8, , 
2025/4/11, 49, 23, 36, 9, , 
2025/4/12, 48, 22, 35, 5, , 
2025/4/13, 58, 18, , 6, , 
2025/4/14, 44, 23, , 10, , 
2025/4/15, 40, 17, , 6, , 
2025/4/16, 24, 19, , 7, , 
2025/4/17, 22, 24, , 9, , 
2025/4/18, 24, 18, , 4, , 
2025/4/19, 38, 15, , 6, , 
2025/4/20, 18, 18, , 8, , 
2025/4/21, 18, 21, , 14, , 
2025/4/22, 26, 26, , 11, , 
2025/4/23, 26, 25, , 7, , 
2025/4/24, 28, 25, , 7, , 
2025/4/25, 37, 21, , 9, , 
2025/4/26, 46, 11, , 6, , 
2025/4/27, 25, 12, , 10, , 
2025/4/28, 26, 13, , 8, , 
2025/4/29, 43, 16, , 6, , 
2025/4/30, 35, 16, , 5, , 
2025/5/1, 27, 21, , 8, , 
2025/5/2, 32, 23, , 7, , 
2025/5/3, 47, 25, , 6, , 
2025/5/4, 62, 17, , 8, , 
2025/5/5, 34, 13, , 6, , 
2025/5/6, 18, 13, , 9, , 
2025/5/7, 19, 17, , 12, , 
2025/5/8, 21, 13, , 6, , 
2025/5/9, 24, 13, , 3, , 
2025/5/10, 26, 14, , 5, , 
2025/5/11, 24, 14, , 7, , 
2025/5/12, 24, 17, , 9, , 
2025/5/13, 30, 18, , 6, , 
2025/5/14, 31, 22, , 12, , 
2025/5/15, 36, 26, , 5, , 
2025/5/16, 41, 27, , 9, , 
2025/5/17, 40, 31, , 11, , 
2025/5/18, 42, 26, , 12, , 
2025/5/19, 38, 29, , 6, , 
2025/5/20, 32, 24, , 10, , 
2025/5/21, 37, 22, , 5, , 
2025/5/22, 32, 28, , 9, , 
2025/5/23, 30, 27, , 7, , 
2025/5/24, 37, 28, , 7, , 
2025/5/25, 40, 28, , 7, , 
2025/5/26, 45, 28, , 7, , 
2025/5/27, 38, 32, , 11, , 
2025/5/28, 38, 34, , 14, , 
2025/5/29, 46, 45, , 20, , 
2025/5/30, 46, 36, , 9, , 
2025/5/31, 38, 30, , 10, , 
2025/6/1, 39, 23, , 7, , 
2025/6/2, 32, 28, , 7, , 
2025/6/3, 28, 39, , 8, , 
2025/6/4, 39, 36, , 4, , 
2025/6/5, 43, 37, , 9, , 
2025/6/6, 53, 34, , 9, , 
2025/6/7, 55, 25, , 4, , 
2025/6/8, 51, 35, , 5, , 
2025/6/9, 47, 43, , 13, , 
2025/6/10, 56, 52, , 23, , 
2025/6/11, 60, 44, , 7, , 
2025/6/12, 63, 34, , 3, , 
2025/6/13, 75, 32, , 3, , 
2025/6/14, 77, 30, , 2, , 
2025/6/15, 66, 47, , 11, , 
2025/6/16, 56, 35, , 9, , 
2025/6/17, 43, 31, , 9, , 
2025/6/18, 44, 37, , 15, , 
2025/6/19, 52, 53, , 14, , 
2025/6/20, 59, 48, , 12, , 
2025/6/21, 54, 46, , 9, , 
2025/6/22, 54, 50, , 8, , 
2025/6/23, 48, 106, , 17, , 
2025/6/24, 116, 55, , 15, , 
2025/6/25, 57, 47, , 11, , 
2025/6/26, 53, 53, , 14, , 
2025/6/27, 52, 45, , 14, , 
2025/6/28, 55, 34, , 9, , 
2025/6/29, 56, 38, , 17, , 
2025/6/30, 45, 37, , 10, , 
2025/1/1, 79, 14, , 19, , 
2025/1/2, 40, 18, , 9, , 
2025/1/3, 37, 16, , 12, , 
2025/1/4, 47, 14, , 11, , 
2025/1/5, 48, 17, , 12, , 
2025/1/6, 40, 13, , 9, , 
2025/1/7, 28, 12, , 12, , 
2025/1/8, 18, 18, , 8, , 
2025/1/9, 26, 22, , 19, , 
2025/1/10, 27, 17, , 10, , 
2025/1/11, 30, 10, , 11, , 
2025/1/12, 15, 17, , 16, , 
2025/1/13, 33, 24, , 17, , 
2025/1/14, 42, 27, , 19, , 
2025/1/15, 53, 29, , 13, , 
2025/1/16, 56, 18, , 9, , 
2025/1/17, 29, 18, , 22, , 
2025/1/18, 41, 19, , 16, , 
2025/1/19, 47, 25, , 27, , 
2025/1/20, 47, 26, , 24, , 
2025/1/21, 51, 27, , 21, , 
2025/1/22, 59, 23, , 15, , 
2025/1/23, 49, 23, , 17, , 
2025/1/24, 47, 19, , 14, , 
2025/1/25, 55, 13, , 7, , 
2025/1/26, 33, 19, , 8, , 
2025/1/27, 29, 19, , 3, , 
2025/1/28, 15, 19, , 9, , 
2025/1/29, 24, 23, , 14, , 
2025/1/30, 31, 22, , 12, , 
2025/1/31, 33, 18, , 15, , 
2025/2/1, 38, 12, , 9, , 
2025/2/2, 45, 14, , 16, , 
2025/2/3, 40, 25, , 21, , 
2025/2/4, 54, 27, , 18, , 
2025/2/5, 74, 23, , 14, , 
2025/2/6, 86, 25, , 16, , 
2025/2/7, 72, 18, , 8, , 
2025/2/8, 47, 14, , 11, , 
2025/2/9, 42, 23, , 19, , 
2025/2/10, 49, 20, , 19, , 
2025/2/11, 35, 23, , 18, , 
2025/2/12, 45, 14, , 12, , 
2025/2/13, 42, 15, , 12, , 
2025/2/14, 44, 21, , 13, , 
2025/2/15, 56, 20, , 12, , 
2025/2/16, 51, 23, , 12, , 
2025/2/17, 71, 22, , 19, , 
2025/2/18, 71, 23, , 11, , 
2025/2/19, 64, 21, , 4, , 
2025/2/20, 58, 19, , 9, , 
2025/2/21, 60, 21, , 11, , 
2025/2/22, 56, 14, , 10, , 
2025/2/23, 41, 18, , 15, , 
2025/2/24, 49, 18, , 13, , 
2025/2/25, 44, 13, , 8, , 
2025/2/26, 35, 16, , 15, , 
2025/2/27, 38, 20, , 12, , 
2025/2/28, 39, 16, , 9, , 
2025/3/1, 34, 13, , 3, , 
2025/3/2, 25, 20, , 4, , 
2025/3/3, 35, 20, , 6, , 
2025/3/4, 43, 21, , 8, , 
2025/3/5, 42, 25, , 3, , 
2025/3/6, 44, 21, , 4, , 
2025/3/7, 50, 23, , 2, , 
2025/3/8, 46, 22, , 7, , 
2025/3/9, 52, 21, , 17, , 
2025/3/10, 32, 19, , 17, , 
2025/3/11, 38, 15, , 16, , 
2025/3/12, 34, 14, , 10, , 
2025/3/13, 39, 9, , 9, , 
2025/3/14, 24, 9, , 6, , 
2025/3/15, 38, 11, , 7, , 
2025/3/16, 41, 11, , 8, , 
2025/3/17, 36, 17, , 9, , 
2025/3/18, 42, 27, , 3, , 
2025/3/19, 37, 31, , 3, , 
2025/3/20, 52, 40, , 12, , 
2025/3/21, 59, 27, , 15, , 
2025/3/22, 50, 13, , 10, , 
2025/3/23, 23, 11, , 10, , 
2025/3/24, 17, 13, , 15, , 
2025/3/25, 25, 14, , 8, , 
2025/3/26, 30, 13, , 7, , 
2025/3/27, 47, 14, , 6, , 
2025/3/28, 52, 18, , 8, , 
2025/3/29, 37, 22, , 7, , 
2025/3/30, 13, 20, , 11, , 
2025/3/31, 20, 23, , 13, , 
2024/10/1, 30, 19, , 8, , 
2024/10/2, 39, 20, , 8, , 
2024/10/3, 26, 13, , 7, , 
2024/10/4, 28, 13, , 11, , 
2024/10/5, 32, 17, , 10, , 
2024/10/6, 32, 16, , 13, , 
2024/10/7, 55, 20, , 6, , 
2024/10/8, 57, 20, , 9, , 
2024/11/24, 21, 48, , 18, , 
2024/11/25, 49, 39, , 15, , 
2024/11/26, 52, 20, , 13, , 
2024/11/27, 27, 28, , , , 
2024/11/28, 56, 25, , 15, , 
2024/11/29, 46, 21, , 15, , 
2024/11/30, 58, 25, , 14, , 
2024/12/1, 75, 27, , 13, , 
2024/12/2, 69, 22, 7, 13, , 
2024/12/3, 48, 18, 8, 13, , 
2024/12/4, 44, 20, 10, 15, , 
2024/12/5, 37, 35, 8, 12, , 
2024/12/6, 50, 28, 28, 9, , 
2024/12/7, 46, 14, 28, 2, , 
2024/12/8, 16, 10, 20, 8, , 
2024/12/9, 13, 17, , 11, , 
2024/12/10, 27, 14, , 16, , 
2024/12/11, 28, 11, , 10, , 
2024/12/12, 30, 14, , 18, , 
2024/12/13, 25, 14, , 9, , 
2024/12/14, 45, 14, , 11, , 
2024/12/15, 49, 20, , 18, , 
2024/12/16, 36, 18, , 17, , 
2024/12/17, 36, 29, , 25, , 
2024/12/18, 55, 51, , 15, , 
2024/12/19, 67, 29, , 16, , 
2024/12/20, 47, 15, , 16, , 
2024/12/21, 32, 14, , 7, , 
2024/12/22, 23, 17, , 19, , 
2024/12/23, 32, 23, , 24, , 
2024/12/24, 38, 23, , 17, , 
2024/12/25, 54, 21, , 14, , 
2024/12/26, 39, 20, , 22, , 
2024/12/27, 54, 23, , 23, , 
2024/12/28, 49, 21, , 20, , 
2024/12/29, 65, , , , , 
2024/8/1, 60, 42, , 8, , 
2024/8/2, 67, 36, , 9, , 
2024/8/3, 48, 29, , 4, , 
2024/8/4, 45, 27, , 8, , 
2024/8/5, 47, 29, , 8, , 
2024/9/30, 27, 18, , 12, , 
2023/12/17, 60, 21, 4, 16, , 
2023/12/18, 79, 38, 6, 26, , 
2023/12/19, 84, 44, 6, 26, , 
2023/12/20, 72, 40, 12, 19, , 
2023/12/21, 59, 42, 18, 20, , 
2023/12/22, 44, 28, 18, 13, , 
2023/12/23, 49, 18, 6, 12, , 
2024/12/31, , 20, , 16, , 
2024/10/9, , 21, , 5, , 
2024/10/10, , 19, , 14, , 
2024/10/11, , 19, , 13, , 
2024/10/12, , 17, , 5, , 
2024/10/13, , 17, , 7, , 
2024/10/14, , 20, , 5, , 
2024/10/15, , 39, , 8, , 
2024/10/16, , 32, , 7, , 
2024/10/17, , 20, , 3, , 
2024/10/18, , 20, , 7, , 
2024/10/19, , 23, , 8, , 
2024/10/20, , 24, , 5, , 
2024/10/21, , 20, , 5, , 
2024/10/22, , 21, , 5, , 
2024/10/23, , 26, , 6, , 
2024/10/24, , 34, , 6, , 
2024/10/25, , 16, , 3, , 
2024/10/26, , 11, , 1, , 
2024/10/27, , 14, , 2, , 
2024/10/28, , 17, , 6, , 
2024/10/29, , 18, , 4, , 
2024/10/30, , 7, , 5, , 
2024/10/31, , 24, , 5, , 
2024/11/5, , 17, , 11, , 
2024/11/6, , 16, , 13, , 
2024/11/7, , 22, , 10, , 
2024/11/8, , 19, , 11, , 
2024/11/9, , 16, , 5, , 
2024/11/10, , 13, , 13, , 
2024/11/11, , 14, , 9, , 
2024/11/12, , 16, , 10, , 
2024/11/13, , 19, , 14, , 
2024/11/14, , 34, , 18, , 
2024/11/15, , 46, , 17, , 
2024/11/19, , 20, , 8, , 
2024/11/20, , 18, , 9, , 
2024/11/21, , 19, , 6, , 
2024/11/22, , 17, , 13, , 
2024/11/23, , 19, , 12, , 
2024/7/1, , 18, , 6, , 
2024/7/2, , 13, , 8, , 
2024/7/3, , 17, , 8, , 
2024/7/4, , 21, , 1, , 
2024/7/5, , 21, , 8, , 
2024/7/6, , 20, , 8, , 
2024/7/7, , 21, , 4, , 
2024/7/8, , 26, , 10, , 
2024/7/9, , 28, , 11, , 
2024/7/10, , 33, , 13, , 
2024/7/11, , 37, , 14, , 
2024/7/12, , 34, , 7, , 
2024/7/13, , 22, , 5, , 
2024/7/14, , 24, , 8, , 
2024/7/15, , 32, , 11, , 
2024/7/16, , 27, , 7, , 
2024/7/17, , 20, , 11, , 
2024/7/18, , 32, , 16, , 
2024/7/19, , 30, , 8, , 
2024/7/20, , 26, , 8, , 
2024/7/21, , 32, , 2, , 
2024/7/22, , 23, , 10, , 
2024/7/23, , 27, , 12, , 
2024/7/24, , 30, , 10, , 
2024/7/25, , 23, , 8, , 
2024/7/26, , 25, , 9, , 
2024/7/27, , 26, , 8, , 
2024/7/28, , 21, , 4, , 
2024/7/29, , 23, , 11, , 
2024/7/30, , 34, , 20, , 
2024/7/31, , 47, , 21, , 
2024/8/6, , 28, , 7, , 
2024/8/7, , 25, , 8, , 
2024/8/8, , 27, , 8, , 
2024/8/9, , 27, , 8, , 
2024/8/10, , 26, , 8, , 
2024/8/11, , 25, , 3, , 
2024/8/12, , 22, , 4, , 
2024/8/13, , 30, , 5, , 
2024/8/14, , 25, , 7, , 
2024/8/15, , 13, , 4, , 
2024/8/16, , 15, , 5, , 
2024/8/17, , 20, , 6, , 
2024/8/18, , 19, , 5, , 
2024/8/19, , 14, , 7, , 
2024/8/20, , 22, , 9, , 
2024/8/21, , 30, , 9, , 
2024/8/22, , 30, , 7, , 
2024/8/23, , 32, , 7, , 
2024/8/24, , 29, , 5, , 
2024/8/25, , 21, , 2, , 
2024/8/26, , 20, , 6, , 
2024/8/27, , 24, , 5, , 
2024/8/28, , 24, , 6, , 
2024/8/29, , 19, , 2, , 
2024/8/30, , 20, , 5, , 
2024/8/31, , 20, , 5, , 
2024/9/1, , 22, , 4, , 
2024/9/2, , 20, , 5, , 
2024/9/3, , 23, , 11, , 
2024/9/4, , 19, , 10, , 
2024/9/5, , 11, , 5, , 
2024/9/6, , 17, , 7, , 
2024/9/7, , 24, , 5, , 
2024/9/8, , 19, , 6, , 
2024/9/9, , 13, , 5, , 
2024/9/10, , 18, 32, 6, , 
2024/9/11, , 20, 24, 3, , 
2024/9/12, , 20, 33, 8, , 
2024/9/13, , 20, 31, 10, , 
2024/9/14, , 19, 32, 8, , 
2024/9/15, , 22, 32, 10, , 
2024/9/16, , 27, 23, 15, , 
2024/9/17, , 31, , 14, , 
2024/9/18, , 20, , 8, , 
2024/9/19, , 24, , 10, , 
2024/9/20, , 16, , 12, , 
2024/9/21, , 12, , 5, , 
2024/9/22, , 12, , 7, , 
2024/9/23, , 16, , 11, , 
2024/9/24, , 18, , 11, , 
2024/9/25, , 23, , 12, , 
2024/9/26, , 29, , 16, , 
2024/9/27, , 25, , 5, , 
2024/9/28, , 16, , 4, , 
2024/9/29, , 13, , 7, , 
2024/4/1, , 10, , 8, , 
2024/4/2, , 11, , 10, , 
2024/4/3, , 18, , 21, , 
2024/4/4, , 26, , 16, , 
2024/4/5, , 29, , 10, , 
2024/4/6, , 23, , 5, , 
2024/4/7, , 24, , 14, , 
2024/4/8, , 32, , 6, , 
2024/4/9, , 29, , 11, , 
2024/4/10, , 22, , 16, , 
2024/4/11, , 30, , 20, , 
2024/4/12, , 40, , 15, , 
2024/4/13, , 32, , 19, , 
2024/4/14, , 39, , 17, , 
2024/4/15, , 43, , 5, , 
2024/4/16, , 31, , 5, , 
2024/4/17, , 28, , 8, , 
2024/4/18, , 21, , 15, , 
2024/4/19, , 34, , 7, , 
2024/4/20, , 29, , 7, , 
2024/4/21, , 26, , 11, , 
2024/4/22, , 18, 35, 11, , 
2024/4/23, , 13, 38, 15, , 
2024/4/24, , 17, 35, 6, , 
2024/4/25, , 17, 41, 10, , 
2024/4/26, , 17, 42, 5, , 
2024/4/27, , 24, 38, 5, , 
2024/4/28, , 24, 32, 11, , 
2024/4/29, , 17, , 9, , 
2024/4/30, , 16, , 7, , 
2024/5/1, , 13, , 5, , 
2024/5/2, , 15, , 15, , 
2024/5/3, , 20, , 16, , 
2024/5/4, , 26, , 12, , 
2024/5/5, , 24, , 11, , 
2024/5/6, , 21, , 7, , 
2024/5/7, , 17, , 12, , 
2024/5/8, , 25, , 14, , 
2024/5/9, , 28, , 23, , 
2024/5/10, , 36, , 17, , 
2024/5/11, , 35, , 14, , 
2024/5/12, , 26, , 9, , 
2024/5/13, , 19, , 5, , 
2024/5/14, , 15, , 11, , 
2024/5/15, , 10, , 16, , 
2024/5/16, , 13, , 11, , 
2024/5/17, , 18, , 8, , 
2024/5/18, , 19, , 6, , 
2024/5/19, , 15, , 8, , 
2024/5/20, , 15, , 10, , 
2024/5/21, , 17, , 9, , 
2024/5/22, , 19, , 11, , 
2024/5/23, , 17, , 8, , 
2024/5/24, , 17, , 10, , 
2024/5/25, , 19, , 9, , 
2024/5/26, , 24, , 5, , 
2024/5/27, , 20, , 10, , 
2024/5/28, , 28, , 11, , 
2024/5/29, , 33, , 8, , 
2024/5/30, , 34, , 6, , 
2024/5/31, , 42, , 6, , 
2024/6/1, , 31, , 7, , 
2024/6/2, , 16, , 10, , 
2024/6/3, , 22, , 10, , 
2024/6/4, , 24, , 10, , 
2024/6/5, , 29, , 22, , 
2024/6/6, , 39, , 17, , 
2024/6/7, , 36, , 6, , 
2024/6/8, , 25, , 8, , 
2024/6/9, , 28, , 9, , 
2024/6/10, , 24, , 9, , 
2024/6/11, , 17, , 9, , 
2024/6/12, , 12, , 8, , 
2024/6/13, , 13, , 12, , 
2024/6/14, , 23, , 7, , 
2024/6/15, , 20, , 6, , 
2024/6/16, , 18, , 8, , 
2024/6/17, , 26, , 7, , 
2024/6/18, , 28, , 9, , 
2024/6/19, , 34, , 7, , 
2024/6/20, , 31, , 6, , 
2024/6/21, , 27, , 6, , 
2024/6/22, , 17, , 7, , 
2024/6/23, , 19, , 5, , 
2024/6/24, , 31, , 11, , 
2024/6/25, , 23, , 8, , 
2024/6/26, , 24, , 8, , 
2024/6/27, , 21, , 13, , 
2024/6/28, , 26, , 5, , 
2024/6/29, , 21, , 2, , 
2024/6/30, , 20, , 14, , 
2024/1/1, , 24, , 19, , 
2024/1/2, , 27, 18, 16, , 
2024/1/3, , 35, 12, 18, , 
2024/1/4, , 29, 9, 15, , 
2024/1/5, , 24, 19, 5, , 
2024/1/6, , 10, 24, 3, , 
2024/1/7, , 6, 19, 16, , 
2024/1/8, , 16, 4, 17, , 
2024/1/9, , 22, , 18, , 
2024/1/10, , 24, , 11, , 
2024/1/11, , 16, , 9, , 
2024/1/12, , 13, , 14, , 
2024/1/13, , 15, , 10, , 
2024/1/14, , 15, , 12, , 
2024/1/15, , 21, , 19, , 
2024/1/16, , 24, , 17, , 
2024/1/17, , 25, , 14, , 
2024/1/18, , 23, , 14, , 
2024/1/19, , 18, , 13, , 
2024/1/20, , 22, , 15, , 
2024/1/21, , 25, , 19, , 
2024/1/22, , 19, , 19, , 
2024/1/23, , 24, , 19, , 
2024/1/24, , 29, , 23, , 
2024/1/25, , 32, , 24, , 
2024/1/26, , 33, , 23, , 
2024/1/27, , 28, , 14, , 
2024/1/28, , 24, , 14, , 
2024/1/29, , 22, , 19, , 
2024/1/30, , 25, , 20, , 
2024/1/31, , 28, , 25, , 
2024/2/1, , 40, , 21, , 
2024/2/2, , 40, , 19, , 
2024/2/3, , 33, , 23, , 
2024/2/4, , 28, , 24, , 
2024/2/5, , 35, , 18, , 
2024/2/6, , 34, , 21, , 
2024/2/7, , 37, , 16, , 
2024/2/8, , 40, , 15, , 
2024/2/9, , 32, , 6, , 
2024/2/10, , 18, , 4, , 
2024/2/11, , 10, , 10, , 
2024/2/12, , 14, , 17, , 
2024/2/13, , 20, , 26, , 
2024/2/14, , 27, , 18, , 
2024/2/15, , 27, , 17, , 
2024/2/16, , 24, , 9, , 
2024/2/17, , 16, , 13, , 
2024/2/18, , 14, , 23, , 
2024/2/19, , 25, , 20, , 
2024/2/20, , 28, , 16, , 
2024/2/21, , 29, , 18, , 
2024/2/22, , 28, , 8, , 
2024/2/23, , 19, , 6, , 
2024/2/24, , 11, , 12, , 
2024/2/25, , 16, , 11, , 
2024/2/26, , 19, , 9, , 
2024/2/27, , 17, , 12, , 
2024/2/28, , 15, , 18, , 
2024/2/29, , 21, , 9, , 
2024/3/1, , 20, , 11, , 
2024/3/2, , 23, , 4, , 
2024/3/3, , 18, , 13, , 
2024/3/4, , 15, , 17, , 
2024/3/5, , 23, , 12, , 
2024/3/6, , 20, , 14, , 
2024/3/7, , 23, , 9, , 
2024/3/8, , 18, , 10, , 
2024/3/9, , 21, , 6, , 
2024/3/10, , 11, , 6, , 
2024/3/11, , 9, , 12, , 
2024/3/12, , 13, , 18, , 
2024/3/13, , 19, , 15, , 
2024/3/14, , 22, , 9, , 
2024/3/15, , 19, , 16, , 
2024/3/16, , 22, , 12, , 
2024/3/17, , 23, , 16, , 
2024/3/18, , 21, , 19, , 
2024/3/19, , 24, , 11, , 
2024/3/20, , 23, , 10, , 
2024/3/21, , 23, , 27, , 
2024/3/22, , 43, , 11, , 
2024/3/23, , 38, , 2, , 
2024/3/24, , 23, , 12, , 
2024/3/25, , 16, , 9, , 
2024/3/26, , 12, , 6, , 
2024/3/27, , 15, , 8, , 
2024/3/28, , 23, , 6, , 
2024/3/29, , 32, , 5, , 
2024/3/30, , 25, , 5, , 
2024/3/31, , 18, , 5, , 
2023/10/1, , 23, , 7, , 
2023/10/2, , 21, , 10, , 
2023/10/3, , 22, , 9, , 
2023/10/4, , 25, , 11, , 
2023/10/5, , 36, , 11, , 
2023/10/6, , 37, , 10, , 
2023/10/7, , 30, , 9, , 
2023/10/8, , 27, , 9, , 
2023/10/9, , 36, , 11, , 
2023/10/10, , 38, , 15, , 
2023/10/11, , 38, , 12, , 
2023/10/12, , 29, , 9, , 
2023/10/13, , 37, , 11, , 
2023/10/14, , 29, , 9, , 
2023/10/15, , 25, , 8, , 
2023/10/16, , 19, , 7, , 
2023/10/17, , 23, , 18, , 
2023/10/18, , 29, , 18, , 
2023/10/19, , 23, , 14, , 
2023/10/20, , 12, , 6, , 
2023/10/21, , 10, , 4, , 
2023/10/22, , 11, , 7, , 
2023/10/23, , 30, , 11, , 
2023/10/24, , 18, , 10, , 
2023/10/25, , 12, , 7, , 
2023/10/26, , 21, , 12, , 
2023/10/27, , 22, , 7, , 
2023/10/28, , 19, , 8, , 
2023/10/29, , 19, , 9, , 
2023/10/30, , 26, , 17, , 
2023/10/31, , 20, , 9, , 
2023/11/1, , 20, , 11, , 
2023/11/2, , 24, , 7, , 
2023/11/3, , 23, , 4, , 
2023/11/4, , 23, , 8, , 
2023/11/5, , 15, , 3, , 
2023/11/6, , 19, , 7, , 
2023/11/7, , 23, , 15, , 
2023/11/8, , 24, , 12, , 
2023/11/9, , 19, , 16, , 
2023/11/10, , 23, , 13, , 
2023/11/11, , 20, , 13, , 
2023/11/12, , 16, , 11, , 
2023/11/13, , 27, , 21, , 
2023/11/14, , 34, , 15, , 
