date, pm25, pm10, o3, no2, so2, co
2025/1/6, 40, 10, 27, 1, , 
2025/1/7, 23, 8, 26, 2, , 
2025/1/8, 17, 10, 28, 2, , 
2025/1/9, 13, 11, 26, 2, , 
2025/1/10, 19, 10, 28, 2, , 
2025/1/11, 17, 8, 35, 1, , 
2025/1/12, 13, 11, 29, 5, , 
2025/1/13, 24, 14, 26, 4, , 
2025/1/14, 41, 14, 26, 3, 1, 
2025/1/15, 54, 14, 29, 3, , 
2025/1/16, 56, 11, 32, 3, 1, 
2025/1/17, 29, 9, 31, 4, 1, 
2025/1/18, 41, 10, 31, 3, , 
2025/1/19, 45, 11, 30, 5, 1, 
2025/1/20, 44, 13, 29, 14, 1, 
2025/1/21, 49, 15, 28, 4, , 
2025/1/22, 59, 12, 28, 3, 1, 
2025/1/23, 42, 10, 26, 2, , 
2025/1/24, 40, 10, 31, 2, , 
2025/1/25, 40, 10, 28, 1, , 
2025/1/26, 25, 10, 28, 1, , 
2025/1/27, 19, 9, 31, 1, , 
2025/1/28, 13, 9, 28, , 1, 
2025/1/29, 11, 10, 26, , 1, 
2025/1/30, 21, 10, 23, 2, 1, 
2025/1/31, 26, 9, 24, 2, 1, 
2025/2/1, 34, 8, 25, 2, , 
2025/2/2, 41, 10, 29, 2, 1, 
2025/2/3, 35, 10, 28, 2, 1, 
2025/2/4, 44, 13, 25, 5, 1, 
2025/2/5, 61, 15, 27, 6, 1, 
2025/2/6, 86, 14, 30, 8, , 
2025/2/7, 72, 9, 31, 2, , 
2025/2/8, 46, 9, 26, 2, 1, 
2025/2/9, 38, 9, 28, 3, , 
2025/2/10, 42, 7, 29, 3, , 
2025/2/11, 31, 8, 30, 4, , 
2025/2/12, 29, 7, 28, 1, , 
2025/2/13, 30, 10, 23, 6, , 
2025/2/14, 40, 12, 25, 4, 1, 
2025/2/15, 55, 13, 27, 2, , 
2025/2/16, 48, 13, 27, 5, 1, 
2025/2/17, 63, 13, 26, 5, , 
2025/2/18, 68, 14, 32, 2, , 
2025/2/19, 57, 17, 28, 5, 1, 
2025/2/20, 56, 12, 18, 7, , 
2025/2/21, 55, 8, 26, 4, , 
2025/2/22, 56, 8, 26, 5, 1, 
2025/2/23, 40, 10, 28, 3, 1, 
2025/2/24, 38, 10, 25, 3, 1, 
2025/2/25, 40, 9, 25, 5, 1, 
2025/2/26, 32, 11, 29, 5, 1, 
2025/2/27, 31, 11, 31, 3, 1, 
2025/2/28, 38, 10, 30, 2, 1, 
2025/3/1, 32, 10, 34, 1, 1, 
2025/3/2, 23, 14, 35, 3, , 
2025/3/3, 29, 13, 36, 2, 1, 
2025/3/4, 34, 15, 39, 1, 1, 
2025/3/5, 36, 15, 36, 2, 1, 
2025/3/6, 38, 15, 35, 3, 1, 
2025/3/7, 46, 3, 33, 2, 1, 
2025/3/8, 35, 4, 36, , , 
2025/3/9, 34, , 28, 4, 1, 
2025/3/10, 34, , 27, 3, 1, 
2025/3/11, 34, 8, 31, 2, , 
2025/3/18, 42, 7, 35, 1, 1, 
2025/3/19, 37, 4, 35, 1, 1, 
2025/3/20, 52, , , , 1, 
2025/3/21, 59, , , , 1, 
2025/3/22, 48, , , , 1, 
2025/3/23, 23, , 24, 6, , 
2025/3/24, 17, 8, 26, 3, 1, 
2025/3/25, 25, 9, 29, 5, 1, 
2025/3/26, 30, 13, 28, 4, , 
2025/3/27, 47, 10, 32, 6, , 
2025/3/28, 53, 11, 39, 2, 1, 
2025/3/29, 35, 10, 35, 2, , 
2025/3/30, 13, 11, 35, 6, 1, 
2025/3/31, 19, 13, 39, 5, 1, 
2024/10/1, 23, 15, 31, 7, 1, 
2024/10/2, 31, 9, 31, 2, 1, 
2024/10/3, 23, 9, 37, 2, 1, 
2024/10/4, 18, 11, 39, 4, 1, 
2024/10/5, 21, 10, 39, 4, 1, 
2024/10/6, 19, 17, 31, 7, 1, 
2024/10/7, 48, 13, 33, 2, 1, 
2024/10/8, 37, 9, 36, 4, 1, 
2024/10/9, 20, 12, 35, 2, 1, 
2024/10/10, 23, 10, 32, 4, 1, 
2024/10/11, 22, 10, 37, 1, , 
2024/10/12, 27, 11, 33, 2, , 
2024/10/13, 32, 11, 30, 3, 1, 
2024/10/14, 41, 11, 28, 2, , 
2024/10/15, 36, 26, 36, 3, 1, 
2024/10/16, 53, 17, 36, 3, , 
2024/10/17, 41, 7, 24, 2, 1, 
2024/10/18, 18, 10, 29, 3, 1, 
2024/10/20, 20, 13, 31, 3, 1, 
2024/10/21, 22, 13, 30, 2, 1, 
2024/10/22, 30, 9, 26, 3, 1, 
2024/10/23, 28, 11, 33, 8, 1, 
2024/10/24, 42, 12, 33, 4, 1, 
2024/10/25, 44, , 26, 8, 1, 
2024/10/26, 29, , , , , 
2024/10/27, 15, , 28, 3, 1, 
2024/10/28, 21, 10, 31, 3, 1, 
2024/10/29, 31, 14, 144, 11, 1, 
2024/10/30, 36, 16, 22, 9, 3, 
2024/10/31, 40, 15, 25, 9, 1, 
2024/11/1, 49, 18, 29, 5, 1, 
2024/11/2, 46, 17, 29, 4, 1, 
2024/11/3, 48, 14, 26, 10, , 
2024/11/4, 55, , 21, 9, 1, 
2024/11/5, 53, 16, 29, 6, 1, 
2024/11/6, 51, 14, 29, 10, 1, 
2024/11/7, 38, 13, 28, 4, 1, 
2024/11/8, 37, 15, 28, 1, 1, 
2024/11/9, 42, 11, 22, 1, 1, 
2024/11/10, 40, 10, 25, 8, 1, 
2024/11/11, 27, 11, 23, 2, 1, 
2024/11/12, 34, 8, 28, 1, , 
2024/11/13, 26, 13, 31, 6, 1, 
2024/11/14, 33, 14, 30, 4, 1, 
2024/11/15, 34, 14, 34, 2, 1, 
2024/11/16, 27, 19, 32, , , 
2024/11/17, 36, 24, 19, 1, 1, 
2024/11/18, 48, , 19, 7, 1, 
2024/11/19, 54, 20, 23, 1, 1, 
2024/11/20, 44, 13, 24, 1, 1, 
2024/11/21, 20, 12, 26, 2, 1, 
2024/11/22, 11, 13, 29, 2, 1, 
2024/11/23, 19, 10, 26, 1, 1, 
2024/11/24, 20, 28, 23, 4, 1, 
2024/11/25, 49, 33, 23, 2, 1, 
2024/11/26, 52, 10, 24, 1, 1, 
2024/11/27, 27, 10, 23, 7, , 
2024/11/28, 42, 10, 22, 2, , 
2024/11/29, 37, 12, 18, 4, , 
2024/11/30, 54, 20, 17, 4, , 
2024/12/1, 74, 22, 20, 1, , 
2024/12/2, 67, 16, 19, 2, , 
2024/12/3, 45, 10, 19, 2, , 
2024/12/4, 40, 10, 23, 2, , 
2024/12/5, 31, 9, 20, 2, , 
2024/12/6, 31, 9, 29, 1, , 
2024/12/7, 21, 11, 28, , , 
2024/12/8, 10, 9, 21, 2, , 
2024/12/9, 9, , 15, 4, , 
2024/12/10, 17, 7, 18, 3, , 
2024/12/11, 20, 8, 25, 2, , 
2024/12/12, 19, 7, 27, 4, , 
2024/12/13, 16, 10, 20, 2, , 
2024/12/14, 41, 8, 19, 2, , 
2024/12/15, 43, 8, 23, 3, , 
2024/12/16, 27, 8, 28, 1, , 
2024/12/17, 19, 10, 24, 6, , 
2024/12/18, 35, 35, 26, 2, , 
2024/12/19, 66, 26, 26, 2, , 
2024/12/20, 40, 9, 25, 1, , 
2024/12/21, 17, 8, 27, 1, , 
2024/12/23, 14, 10, 28, 1, , 
2024/12/24, 22, 9, 26, 2, , 
2024/12/25, 36, 10, 17, 5, , 
2024/12/26, 37, 9, 29, 7, , 
2024/12/27, 43, 11, 25, 5, , 
2024/12/28, 34, 10, 26, 6, , 
2024/12/29, 46, , , , , 
2024/7/1, 30, 10, 31, 3, , 
2024/7/2, 27, 14, 31, 3, , 
2024/7/3, 33, , 36, 3, , 
2024/7/4, 36, 15, 30, 6, , 
2024/7/5, 30, 14, 34, 2, , 
2024/7/6, 25, 12, 35, 1, , 
2024/7/7, 26, 13, 33, 1, , 
2024/7/8, 27, 17, 37, 2, , 
2024/7/9, 31, 22, 38, 4, , 
2024/7/10, 35, 26, 35, 5, , 
2024/7/11, 48, 28, 29, 3, , 
2024/7/12, 52, 19, 32, 2, , 
2024/7/13, 35, 16, 35, 2, , 
2024/7/14, 35, 21, 30, 1, , 
2024/7/15, 48, 23, 30, 3, , 
2024/7/16, 49, 16, 40, 6, , 
2024/7/17, 37, 19, 36, 2, , 
2024/7/18, 32, 20, 38, 3, , 
2024/7/19, 38, 19, 43, 1, , 
2024/7/20, 33, 29, 39, 3, , 
2024/7/21, 47, 19, 37, 1, 1, 
2024/7/22, 32, 18, 39, 6, , 
2024/7/23, 28, 18, 39, 3, , 
2024/7/24, 38, 13, 38, 2, , 
2024/7/25, 27, 13, 37, 4, , 
2024/7/26, 27, 13, 38, 3, , 
2024/7/27, 25, 17, 37, 1, , 
2024/7/28, 34, 21, 40, 9, , 
2024/7/29, 44, 25, 46, 2, 1, 
2024/7/30, 51, 21, 44, 2, , 
2024/7/31, 50, , 42, 4, , 
2024/8/1, 57, 32, 47, 4, , 
2024/8/2, 66, 23, 46, 2, , 
2024/8/3, 47, 20, 43, 3, , 
2024/8/4, 40, 20, 41, 1, , 
2024/8/6, 42, 17, 38, 2, , 
2024/8/7, 40, 18, 39, 4, , 
2024/8/9, 38, 14, 43, 1, , 
2024/8/10, 32, , 41, 1, , 
2024/8/11, 34, , 37, 2, , 
2024/8/12, 38, 17, 42, 2, , 
2024/8/13, 48, 16, 42, 1, 1, 
2024/8/14, 42, 9, 42, 1, , 
2024/8/15, 25, 10, 42, 3, , 
2024/8/16, 25, 14, 43, 2, , 
2024/8/17, 34, 13, 42, 1, , 
2024/8/18, 30, 11, 38, 1, , 
2024/8/19, 33, 19, 47, 2, , 
2024/8/20, 59, 28, 40, 3, , 
2024/8/21, 81, 27, 44, 1, , 
2024/8/22, 79, 28, 44, 1, , 
2024/8/23, 83, 23, 43, 1, , 
2024/8/24, 76, 18, 34, 1, , 
2024/8/25, 58, 15, 37, 1, , 
2024/8/26, 34, 17, 38, 1, , 
2024/8/27, 32, 20, 42, 4, , 
2024/8/28, 38, 17, 40, 2, , 
2024/8/29, 40, 17, 35, 4, , 
2024/8/30, 44, 17, 40, 3, , 
2024/8/31, 39, 16, 40, 1, , 
2024/9/1, 44, 15, 40, 3, , 
2024/9/2, 40, 16, 36, 3, , 
2024/9/3, 39, 10, 35, 1, , 
2024/9/4, 38, 7, 33, 3, , 
2024/9/5, 22, 9, 34, 1, , 
2024/9/6, 19, 11, 37, 1, , 
2024/9/7, 31, , 33, 1, , 
2024/9/8, 36, 9, 39, 3, 1, 
2024/9/9, 22, 11, 39, 1, 1, 
2024/9/10, 23, 14, 34, 2, , 
2024/9/11, 35, , 30, 3, 1, 
2024/9/12, 29, 13, 38, 3, 1, 
2024/9/13, 30, 11, 38, 1, 1, 
2024/9/14, 19, 12, 40, 2, 1, 
2024/9/15, 15, 15, 38, 5, 1, 
2024/9/16, 21, 16, 35, 3, 1, 
2024/9/17, 25, 12, 36, 1, 1, 
2024/9/18, 21, 10, 36, 3, , 
2024/9/19, 17, 8, 35, 3, , 
2024/9/20, 21, 9, 37, 1, 1, 
2024/9/21, 22, 8, 37, 1, , 
2024/9/22, 16, 10, 37, 4, 1, 
2024/9/23, 27, 11, 43, 2, 1, 
2024/9/24, 40, 14, 45, 2, 1, 
2024/9/25, 44, 16, 40, 4, 1, 
2024/9/26, 46, 12, 35, 2, 1, 
2024/9/27, 28, 10, 34, 2, 1, 
2024/9/28, 13, 11, 36, 1, 1, 
2024/9/29, 13, 12, 37, 1, 1, 
2024/9/30, 17, 13, 35, 1, 1, 
2024/4/1, 7, 8, 38, 2, , 
2024/4/2, 9, 10, 37, 4, , 
2024/4/3, 13, 11, 41, 3, , 
2024/4/4, 19, 12, 41, 5, , 
2024/4/5, 31, 16, 45, 1, , 
2024/4/6, 21, 25, 45, 1, , 
2024/4/7, 25, 31, 37, 4, , 
2024/4/8, 25, 26, 37, 1, , 
2024/4/9, 17, 13, 35, 3, , 
2024/4/10, 12, 17, 44, 4, , 
2024/4/11, 13, 20, 47, 8, , 
2024/4/12, 19, 21, 50, 3, , 
2024/4/13, 23, 20, 56, 2, , 
2024/4/15, 35, 19, 36, 3, , 
2024/4/16, 27, 18, 37, 2, , 
2024/4/17, 11, 14, 29, 2, , 
2024/4/18, 7, 16, 40, 1, , 
2024/4/19, 7, 19, 38, 3, , 
2024/4/20, 5, 16, 35, 2, , 
2024/4/23, 7, 10, 41, 2, , 
2024/4/24, 5, 15, 33, 3, , 
2024/4/27, 6, 12, 29, 2, , 
2024/4/28, 6, 9, 31, 2, , 
2024/4/30, 7, 6, 33, 3, , 
2024/5/1, 13, 8, 33, 1, , 
2024/5/2, 7, 11, 40, 2, , 
2024/5/3, 5, 12, 41, 2, , 
2024/5/5, 6, 16, 24, 2, , 
2024/5/6, 9, 10, 30, 3, , 
2024/5/7, 7, 10, 39, 2, , 
2024/5/9, 5, 12, 42, 2, , 
2024/5/13, 36, 10, 24, 3, , 
2024/5/14, 42, 7, 21, 5, , 
2024/5/15, 24, 8, 29, 6, , 
2024/5/16, 25, 11, 28, 5, , 
2024/5/17, 42, 16, 25, 3, , 
2024/5/18, 57, 12, 20, 3, , 
2024/5/19, 39, 12, 40, 3, , 
2024/5/20, 35, 10, 38, 2, , 
2024/5/21, 32, 12, 39, 3, , 
2024/5/22, 31, 10, 39, 2, , 
2024/5/23, 29, 10, 36, 1, , 
2024/5/24, 23, , 40, 3, , 
2024/5/25, 28, , 38, 2, , 
2024/5/26, 38, , 33, 2, , 
2024/5/27, 37, , 34, 4, , 
2024/5/28, 41, 16, 38, 4, , 
2024/5/29, 46, 19, 36, 4, , 
2024/5/30, 43, 18, 37, 2, , 
2024/5/31, 31, 18, 36, 2, , 
2024/6/3, 29, 12, 39, 1, , 
2024/6/4, 23, 12, 39, 1, , 
2024/6/5, 28, 14, 43, 2, , 
2024/6/6, 35, 16, 44, 5, , 
2024/6/7, 40, , 43, 1, , 
2024/6/13, 13, 10, 41, 1, , 
2024/6/14, 24, 13, 41, 1, , 
2024/6/15, 33, 13, 30, 3, , 
2024/6/16, 23, 17, 34, 3, , 
2024/6/17, 33, 24, 36, 3, , 
2024/6/18, 50, 29, 35, 4, , 
2024/6/19, 58, 30, 36, 3, , 
2024/6/20, 57, , 43, 3, , 
2024/6/21, 54, 8, 39, 3, , 
2024/6/22, 21, 10, 31, 2, , 
2024/6/23, 19, 11, 32, 1, , 
2024/6/24, 29, 11, 35, 2, , 
2024/6/25, 25, 14, 38, 3, , 
2024/6/26, 24, 12, 38, 10, , 
2024/6/27, 19, , 42, 2, , 
2024/6/28, 23, 10, 45, 1, , 
2024/6/29, 23, 12, 42, 1, , 
2024/6/30, 23, 12, 30, 2, , 
2024/1/1, 54, 11, 26, 2, , 
2024/1/2, 44, 12, 26, 2, , 
2024/1/3, 21, 12, 26, 4, , 
2024/1/4, 29, 14, , 4, , 
2024/1/5, 50, 7, , 1, , 
2024/1/6, 21, 5, , , , 
2024/1/7, 7, 7, , 5, , 
2024/1/8, 10, 12, 23, 4, , 
2024/1/9, 28, 9, 30, 3, , 
2024/1/10, 41, 5, 26, 4, , 
2024/1/11, 48, 6, 19, 3, , 
2024/1/12, 40, 8, 24, 4, , 
2024/1/13, 47, 10, 25, 2, , 
2024/1/14, 38, 10, 21, 3, , 
2024/1/15, 31, 9, 20, 8, , 
2024/1/16, 41, 10, 30, 1, , 
2024/1/17, 45, 9, 30, 1, 1, 
2024/1/18, 19, 8, 27, 4, 1, 
2024/1/19, 19, 10, 29, 3, 1, 
2024/1/20, 31, 20, 29, 1, 1, 
2024/1/21, 39, 12, 25, 1, 1, 
2024/1/22, 36, , 22, 3, 1, 
2024/1/23, 42, 11, 21, 5, 1, 
2024/1/24, 56, 12, 21, 6, , 
2024/1/25, 64, 11, 23, 8, , 
2024/1/26, 57, 15, 33, 7, , 
2024/1/27, 62, 15, 31, 5, , 
2024/1/28, 94, 11, 28, 3, , 
2024/1/29, 49, , 31, 3, , 
2024/1/30, 38, 17, 31, 2, , 
2024/1/31, 47, 16, 26, 2, , 
2024/2/1, 61, 19, 23, 3, , 
2024/2/2, 71, 17, 27, 3, , 
2024/2/3, 60, 13, 32, 4, , 
2024/2/4, 53, 13, 32, 6, , 
2024/2/5, 54, 17, 30, 4, , 
2024/2/6, 64, 19, 27, 4, , 
2024/2/7, 79, 23, 24, 3, , 
2024/2/8, 66, 22, 25, 3, , 
2024/2/9, 49, 10, 29, 1, , 
2024/2/10, 30, 9, 29, , , 
2024/2/11, 15, 9, 29, 1, , 
2024/2/12, 15, 10, 28, 3, , 
2024/2/13, 21, 13, 29, 5, , 
2024/2/14, 39, 11, 29, 6, , 
2024/2/15, 57, 12, 30, 4, , 
2024/2/16, 41, 11, 26, 2, , 
2024/2/17, 26, 9, 32, 2, , 
2024/2/18, 19, 12, 30, 10, , 
2024/2/19, 35, 15, 36, 2, , 
2024/2/20, 49, 13, 35, 3, , 
2024/2/21, 38, 14, 35, 4, , 
2024/2/22, 53, 12, 32, 2, , 
2024/2/23, 45, 7, 32, 1, , 
2024/2/24, 11, 6, 31, 2, , 
2024/2/25, 13, 8, 28, 2, , 
2024/2/26, 21, 9, 25, 2, , 
